name,country,city,ranking,programs,tuition,scholarship,website
Toronto Baptist Seminary and Bible College,Canada,Toronto,13,"Business Analytics, Artificial Intelligence, Data Science",22434,Very High,https://tbs.edu
Cégep de Saint-Jérôme,Canada,Vancouver,460,"Cybersecurity, MS Computer Science, Software Engineering",25936,Very High,https://www.cstj.qc.ca
Lambton College,Canada,Vancouver,442,"Data Science, MS Computer Science, Cybersecurity",24123,High,https://www.lambtoncollege.ca
Acadia University,Canada,Vancouver,138,"MS Computer Science, Cybersecurity, Data Science",30105,High,http://www.acadiau.ca/
Algonquin College,Canada,Toronto,146,"Business Analytics, Software Engineering, Robotics",29745,Very High,http://www.algonquincollege.com/
Ashton College,Canada,Toronto,124,"Software Engineering, Data Science, Robotics",41600,Low,http://www.ashtoncollege.com/
Assumption University,Canada,Vancouver,419,"Data Science, MBA, Cybersecurity",24884,Low,http://www.assumptionu.ca/
Athabasca University,Canada,Toronto,395,"MBA, Software Engineering, Business Analytics",32586,Very High,http://www.athabascau.ca/
Augustana University College,Canada,Toronto,27,"Business Analytics, Cybersecurity, MS Computer Science",38174,Low,http://www.augustana.ab.ca/
British Columbia Institute of Technology,Canada,Toronto,369,"Software Engineering, Business Analytics, Data Science",42155,Medium,http://www.bcit.ca/
British Columbia Open University,Canada,Toronto,332,"Software Engineering, Cybersecurity, Data Science",34205,Very High,http://www.bcou.ca/
William and Catherine Booth College,Canada,Toronto,143,"Data Science, MS Computer Science, Software Engineering",28543,Very High,http://www.boothcollege.ca/
Collège Boréal,Canada,Vancouver,450,"Business Analytics, Software Engineering, MBA",28149,Very High,http://www.borealc.on.ca/
Bow Valley College,Canada,Toronto,237,"Data Science, Robotics, Business Analytics",41344,High,http://www.bowvalleycollege.ca/
Brandon University,Canada,Toronto,297,"Software Engineering, Robotics, Data Science",38131,Very High,http://www.brandonu.ca/
Brock University,Canada,Vancouver,81,"Cybersecurity, MBA, Artificial Intelligence",35187,High,http://www.brocku.ca/
DeVry Institute of Technology,Canada,Vancouver,71,"Artificial Intelligence, Data Science, Business Analytics",26416,High,http://www.cal.devry.ca/
Camosun College,Canada,Vancouver,213,"Robotics, MS Computer Science, Software Engineering",36013,Very High,http://www.camosun.bc.ca/
Capilano College,Canada,Toronto,195,"Business Analytics, Data Science, MBA",35078,Medium,http://www.capcollege.bc.ca/
University College of the Cariboo,Canada,Toronto,180,"Cybersecurity, Artificial Intelligence, MBA",27801,Low,http://www.cariboo.bc.ca/
Carleton University,Canada,Toronto,29,"Software Engineering, Cybersecurity, Business Analytics",27664,Low,http://www.carleton.ca/
Canadian College of Business & Computers,Canada,Toronto,227,"Business Analytics, MBA, Cybersecurity",38137,Medium,http://www.ccbc.ca/
Centennial College,Canada,Toronto,142,"Data Science, Business Analytics, Robotics",27337,Medium,http://www.centennialcollege.ca/
Canadian Mennonite University,Canada,Toronto,485,"Business Analytics, Software Engineering, Data Science",28529,Medium,http://www.cmu.ca/
College of New Caledonia,Canada,Toronto,433,"Robotics, MS Computer Science, Data Science",37659,High,http://www.cnc.bc.ca/
Columbia College,Canada,Toronto,125,"MS Computer Science, MBA, Software Engineering",20748,High,http://www.columbiacollege.ca/
Concordia University College of Alberta,Canada,Vancouver,157,"Data Science, Cybersecurity, MS Computer Science",27202,Low,http://www.concordia.ab.ca/
Concordia University,Canada,Toronto,353,"Robotics, Software Engineering, Business Analytics",37076,Medium,http://www.concordia.ca/
Conestoga College,Canada,Vancouver,88,"Data Science, Artificial Intelligence, MBA",35849,Low,http://www.conestogac.on.ca/
College of the Rockies,Canada,Vancouver,90,"Cybersecurity, Artificial Intelligence, Software Engineering",39045,Low,http://www.cotr.bc.ca/
"University of Moncton, Shippagan",Canada,Vancouver,342,"Data Science, Robotics, Business Analytics",34541,Very High,http://www.cus.ca/
"University of Moncton, Edmundston",Canada,Toronto,473,"Robotics, Cybersecurity, Business Analytics",37765,Low,http://www.cuslm.ca/
Dalhousie University,Canada,Toronto,57,"Business Analytics, Software Engineering, Data Science",35857,Low,http://www.dal.ca/
Douglas College,Canada,Vancouver,324,"Business Analytics, Robotics, MBA",42384,Very High,http://www.douglas.bc.ca/
Durham College,Canada,Vancouver,258,"MS Computer Science, Robotics, Software Engineering",39330,High,https://durhamcollege.ca/
Emily Carr Institute of Art + Design,Canada,Toronto,474,"Data Science, Software Engineering, Robotics",36657,High,http://www.eciad.bc.ca/
"École nationale d'administration publique, Université du Québec",Canada,Toronto,269,"Data Science, Business Analytics, MS Computer Science",34205,Very High,http://www.enap.uquebec.ca/
"École de technologie supérieure, Université du Québec",Canada,Vancouver,129,"MBA, Artificial Intelligence, MS Computer Science",23696,Low,http://www.etsmtl.ca/
First Nations University of Canada,Canada,Toronto,76,"Software Engineering, Business Analytics, Data Science",33539,Very High,http://www.firstnationsuniversity.ca/
George Brown College,Canada,Toronto,19,"Data Science, Cybersecurity, Artificial Intelligence",21587,Very High,http://www.gbrownc.on.ca/
École des Hautes Études Commerciales,Canada,Vancouver,430,"Data Science, Business Analytics, MS Computer Science",26169,Very High,http://www.hec.ca/
Humber College,Canada,Vancouver,67,"Artificial Intelligence, Business Analytics, MBA",31360,Medium,http://www.humber.ca/
Huron University College,Canada,Vancouver,103,"Business Analytics, Cybersecurity, MS Computer Science",35713,Very High,http://www.huronuc.on.ca/
"Institut Armand-Frappier, Université du Québec",Canada,Vancouver,113,"MBA, Software Engineering, Data Science",20392,Medium,http://www.iaf.inrs.ca/
"Institut National de la Recherche Scientifique, Université du Québec",Canada,Vancouver,370,"Robotics, MS Computer Science, Business Analytics",39579,High,http://www.inrs.uquebec.ca/
Kingston College,Canada,Vancouver,442,"Software Engineering, Robotics, Artificial Intelligence",41700,Very High,http://www.kingston.edu/
King's University College,Canada,Toronto,150,"Software Engineering, Artificial Intelligence, Robotics",30298,High,http://www.kingsu.ab.ca/
Kwantleen University College,Canada,Vancouver,98,"Artificial Intelligence, Robotics, MBA",31680,High,http://www.kwantlen.bc.ca/
Lakehead University,Canada,Toronto,19,"Robotics, MS Computer Science, MBA",40185,High,http://www.lakeheadu.ca/
Langara College,Canada,Vancouver,440,"Business Analytics, Artificial Intelligence, Robotics",44464,Medium,http://www.langara.bc.ca/
Lansbridge University,Canada,Toronto,139,"Business Analytics, Data Science, Artificial Intelligence",39393,High,http://www.lansbridge.com/
Laurentian University of Sudbury,Canada,Toronto,72,"Cybersecurity, Software Engineering, Robotics",34174,Medium,http://www.laurentian.ca/
MacEwan University,Canada,Vancouver,268,"Business Analytics, MS Computer Science, MBA",27040,Low,http://www.macewan.ca/
Malaspina University College,Canada,Vancouver,397,"Business Analytics, Software Engineering, MS Computer Science",35905,Medium,http://www.mala.bc.ca/
McGill University,Canada,Toronto,214,"Robotics, Data Science, Artificial Intelligence",43774,High,http://www.mcgill.ca/
McMaster University,Canada,Toronto,36,"Software Engineering, MBA, Cybersecurity",25056,High,http://www.mcmaster.ca/
Mount Saint Vincent University,Canada,Vancouver,485,"MBA, MS Computer Science, Cybersecurity",37065,High,http://www.msvu.ca/
Mount Allison University,Canada,Vancouver,66,"Robotics, MS Computer Science, MBA",25488,High,http://www.mta.ca/
Mount Royal University,Canada,Toronto,269,"Data Science, Robotics, MBA",24098,Medium,http://www.mtroyal.ca/
Northern Alberta Institute of Technology,Canada,Vancouver,88,"Software Engineering, Data Science, Robotics",28760,High,http://www.nait.ca/
North Island College,Canada,Toronto,312,"MBA, Data Science, Robotics",27338,High,http://www.nic.bc.ca/
Nipissing University,Canada,Vancouver,432,"Robotics, Cybersecurity, Software Engineering",41388,Low,http://www.nipissingu.ca/
Northern Lights College,Canada,Toronto,306,"Robotics, MS Computer Science, Artificial Intelligence",38558,High,http://www.nlc.bc.ca/
Nova Scotia Agricultural College,Canada,Vancouver,403,"Artificial Intelligence, Robotics, Data Science",23654,High,http://www.nsac.ns.ca/
Nova Scotia College of Art and Design,Canada,Toronto,373,"Software Engineering, Artificial Intelligence, Cybersecurity",37201,Very High,http://www.nscad.ns.ca/
Nicola Valley Institute of Technology,Canada,Toronto,269,"Artificial Intelligence, Robotics, MBA",32854,High,http://www.nvit.bc.ca/
Ontario College of Art and Design,Canada,Toronto,65,"MBA, Data Science, Software Engineering",39503,Low,http://www.ocad.ca/
Okanagan University College,Canada,Vancouver,375,"Cybersecurity, Data Science, Business Analytics",34528,Low,http://www.okanagan.bc.ca/
Dominican College of Philosophy and Theology,Canada,Vancouver,340,"Cybersecurity, MBA, Data Science",39770,Medium,http://www.op.org/canada/college.htm
Pacific International College,Canada,Toronto,158,"Software Engineering, Cybersecurity, Business Analytics",27802,High,http://www.picollege.ca/
"École Polytechnique de Montréal, Université de Montréal",Canada,Vancouver,1,"Software Engineering, MS Computer Science, Robotics",32056,High,http://www.polymtl.ca/
Queen's University,Canada,Toronto,302,"MBA, Software Engineering, MS Computer Science",40240,Low,http://www.queensu.ca/
Quest University,Canada,Toronto,469,"Cybersecurity, Data Science, Robotics",35454,High,http://www.questu.ca/
Redeemer College,Canada,Toronto,212,"Robotics, Cybersecurity, Software Engineering",39953,Low,http://www.redeemer.ca/
Regent College,Canada,Toronto,115,"Data Science, Cybersecurity, Software Engineering",28954,Low,http://www.regent-college.edu/
Royal Military College of Canada,Canada,Toronto,98,"Data Science, Artificial Intelligence, Cybersecurity",22774,High,http://www.rmc.ca/
Royal Roads University,Canada,Toronto,98,"Robotics, MBA, Data Science",31096,Medium,http://www.royalroads.ca/
Ryerson Polytechnic University,Canada,Toronto,244,"Artificial Intelligence, Software Engineering, Data Science",25059,Low,http://www.ryerson.ca/
Southern Alberta Institute of Technology,Canada,Vancouver,348,"Artificial Intelligence, Cybersecurity, Data Science",27222,Low,http://www.sait.ca/
Luther College,Canada,Toronto,392,"MS Computer Science, MBA, Business Analytics",32411,Medium,http://www.saskweb.com/luthercollege/
Sauder School of Business,Canada,Toronto,425,"Business Analytics, Software Engineering, Artificial Intelligence",24823,Medium,http://www.sauder.ubc.ca/
"University of Toronto, Scarborough",Canada,Toronto,284,"Robotics, MBA, Cybersecurity",41841,Very High,http://www.scar.utoronto.ca/
Selkirk College,Canada,Vancouver,345,"Artificial Intelligence, MBA, Business Analytics",39047,Low,http://www.selkirk.bc.ca/
Seneca College,Canada,Toronto,311,"Artificial Intelligence, Business Analytics, MBA",37067,High,http://www.senecacollege.ca/
Simon Fraser University,Canada,Vancouver,364,"Cybersecurity, MBA, Software Engineering",22523,High,http://www.sfu.ca/
Sheridan College,Canada,Vancouver,500,"MS Computer Science, Software Engineering, Artificial Intelligence",39702,Medium,http://www.sheridancollege.ca/
Saskatchewan Indian Federated College,Canada,Toronto,385,"Software Engineering, MBA, Artificial Intelligence",30849,High,http://www.sifc.edu/
St. Clair College,Canada,Vancouver,449,"MS Computer Science, MBA, Artificial Intelligence",23861,Very High,http://www.stclairc.on.ca/
St. Francis Xavier University,Canada,Toronto,239,"Robotics, MS Computer Science, MBA",23514,Medium,http://www.stfx.ca/
St. Mary's University,Canada,Toronto,356,"Robotics, Artificial Intelligence, Business Analytics",44075,Very High,http://www.stmarys.ca/
St. Thomas University,Canada,Toronto,138,"MBA, Artificial Intelligence, Cybersecurity",23255,High,http://www.stthomasu.ca/
"Télé-université, Université du Québec",Canada,Vancouver,355,"MBA, Software Engineering, Cybersecurity",31478,Very High,http://www.teluq.uquebec.ca/
Trent University,Canada,Vancouver,271,"Software Engineering, MBA, Robotics",20262,Low,http://www.trentu.ca/
University of Trinity College,Canada,Vancouver,7,"Data Science, Robotics, MS Computer Science",33480,Low,http://www.trinity.utoronto.ca/
Thompson Rivers University,Canada,Toronto,319,"Business Analytics, MBA, MS Computer Science",39642,Very High,http://www.tru.ca/
Trinity Western University,Canada,Toronto,284,"Artificial Intelligence, MS Computer Science, Data Science",40531,Very High,http://www.twu.ca/
University of Alberta,Canada,Vancouver,394,"Data Science, Business Analytics, MBA",20789,Medium,http://www.ualberta.ca/
University of British Columbia,Canada,Toronto,69,"Software Engineering, MBA, Cybersecurity",39808,Very High,http://www.ubc.ca/
Bishop's University,Canada,Vancouver,244,"Robotics, Cybersecurity, MBA",37187,Very High,http://www.ubishops.ca/
University of Calgary,Canada,Vancouver,492,"Software Engineering, MBA, MS Computer Science",29696,Medium,http://www.ucalgary.ca/
