name,country,city,ranking,programs,tuition,scholarship,website
Toronto Baptist Seminary and Bible College,Canada,Vancouver,410,"MS Computer Science, MBA, Robotics",36217,Low,https://tbs.edu
Cégep de Saint-Jérôme,Canada,Toronto,350,"Business Analytics, Data Science, Software Engineering",20396,Low,https://www.cstj.qc.ca
Lambton College,Canada,Toronto,135,"Cybersecurity, Artificial Intelligence, MBA",39196,High,https://www.lambtoncollege.ca
Acadia University,Canada,Toronto,481,"Artificial Intelligence, Robotics, Software Engineering",37665,Medium,http://www.acadiau.ca/
Algonquin College,Canada,Vancouver,122,"Robotics, Data Science, MS Computer Science",32868,High,http://www.algonquincollege.com/
Ashton College,Canada,Toronto,149,"Robotics, Software Engineering, Business Analytics",20354,Low,http://www.ashtoncollege.com/
Assumption University,Canada,Toronto,397,"MS Computer Science, Business Analytics, Robotics",23648,Very High,http://www.assumptionu.ca/
Athabasca University,Canada,Vancouver,20,"Software Engineering, MS Computer Science, Cybersecurity",32434,Low,http://www.athabascau.ca/
Augustana University College,Canada,Vancouver,414,"Artificial Intelligence, MBA, Data Science",36853,Medium,http://www.augustana.ab.ca/
British Columbia Institute of Technology,Canada,Toronto,223,"Business Analytics, Robotics, Cybersecurity",44201,Low,http://www.bcit.ca/
British Columbia Open University,Canada,Toronto,259,"Robotics, Data Science, Business Analytics",44295,Medium,http://www.bcou.ca/
William and Catherine Booth College,Canada,Vancouver,446,"MBA, Artificial Intelligence, MS Computer Science",23108,Medium,http://www.boothcollege.ca/
Collège Boréal,Canada,Vancouver,64,"MBA, Artificial Intelligence, Cybersecurity",29514,High,http://www.borealc.on.ca/
Bow Valley College,Canada,Vancouver,154,"Robotics, Cybersecurity, Business Analytics",44746,Very High,http://www.bowvalleycollege.ca/
Brandon University,Canada,Vancouver,106,"Business Analytics, Robotics, Cybersecurity",34204,High,http://www.brandonu.ca/
Brock University,Canada,Toronto,384,"Artificial Intelligence, Business Analytics, Software Engineering",22343,Medium,http://www.brocku.ca/
DeVry Institute of Technology,Canada,Vancouver,318,"Robotics, Artificial Intelligence, Data Science",30626,High,http://www.cal.devry.ca/
Camosun College,Canada,Vancouver,418,"Software Engineering, Artificial Intelligence, Cybersecurity",28026,Low,http://www.camosun.bc.ca/
Capilano College,Canada,Vancouver,485,"Robotics, Artificial Intelligence, Data Science",29361,High,http://www.capcollege.bc.ca/
University College of the Cariboo,Canada,Vancouver,326,"MS Computer Science, Data Science, Cybersecurity",35681,Medium,http://www.cariboo.bc.ca/
Carleton University,Canada,Toronto,96,"Data Science, Business Analytics, Software Engineering",22115,High,http://www.carleton.ca/
Canadian College of Business & Computers,Canada,Toronto,124,"Artificial Intelligence, Cybersecurity, Robotics",34616,Low,http://www.ccbc.ca/
Centennial College,Canada,Toronto,25,"Data Science, Artificial Intelligence, Cybersecurity",37672,Medium,http://www.centennialcollege.ca/
Canadian Mennonite University,Canada,Vancouver,408,"MBA, Software Engineering, Data Science",30432,Medium,http://www.cmu.ca/
College of New Caledonia,Canada,Vancouver,297,"MBA, Data Science, Business Analytics",42839,High,http://www.cnc.bc.ca/
Columbia College,Canada,Vancouver,139,"MS Computer Science, Cybersecurity, Artificial Intelligence",40289,Low,http://www.columbiacollege.ca/
Concordia University College of Alberta,Canada,Toronto,113,"Cybersecurity, Artificial Intelligence, Business Analytics",44662,Low,http://www.concordia.ab.ca/
Concordia University,Canada,Toronto,402,"Robotics, MS Computer Science, MBA",41771,Very High,http://www.concordia.ca/
Conestoga College,Canada,Vancouver,92,"Data Science, Artificial Intelligence, Business Analytics",39671,Medium,http://www.conestogac.on.ca/
College of the Rockies,Canada,Vancouver,481,"Artificial Intelligence, Business Analytics, Cybersecurity",35782,Low,http://www.cotr.bc.ca/
"University of Moncton, Shippagan",Canada,Toronto,440,"Data Science, MS Computer Science, Business Analytics",43483,Medium,http://www.cus.ca/
"University of Moncton, Edmundston",Canada,Vancouver,116,"Artificial Intelligence, MS Computer Science, Cybersecurity",35292,Medium,http://www.cuslm.ca/
Dalhousie University,Canada,Vancouver,59,"Cybersecurity, Data Science, MBA",42866,Very High,http://www.dal.ca/
Douglas College,Canada,Toronto,352,"Business Analytics, Software Engineering, MBA",44829,Very High,http://www.douglas.bc.ca/
Durham College,Canada,Vancouver,407,"Data Science, Business Analytics, Artificial Intelligence",31129,Medium,https://durhamcollege.ca/
Emily Carr Institute of Art + Design,Canada,Toronto,257,"MS Computer Science, Business Analytics, Data Science",22917,Medium,http://www.eciad.bc.ca/
"École nationale d'administration publique, Université du Québec",Canada,Toronto,445,"Software Engineering, Data Science, MBA",39738,Medium,http://www.enap.uquebec.ca/
"École de technologie supérieure, Université du Québec",Canada,Toronto,106,"Cybersecurity, Software Engineering, Robotics",39410,High,http://www.etsmtl.ca/
First Nations University of Canada,Canada,Vancouver,388,"Business Analytics, MS Computer Science, MBA",26543,Very High,http://www.firstnationsuniversity.ca/
George Brown College,Canada,Toronto,318,"MS Computer Science, Artificial Intelligence, Software Engineering",28738,High,http://www.gbrownc.on.ca/
École des Hautes Études Commerciales,Canada,Toronto,347,"Software Engineering, Data Science, MS Computer Science",33059,Very High,http://www.hec.ca/
Humber College,Canada,Toronto,87,"Data Science, Business Analytics, MBA",36759,Very High,http://www.humber.ca/
Huron University College,Canada,Toronto,246,"Cybersecurity, Artificial Intelligence, Software Engineering",29193,Very High,http://www.huronuc.on.ca/
"Institut Armand-Frappier, Université du Québec",Canada,Vancouver,495,"MS Computer Science, Artificial Intelligence, Data Science",20864,High,http://www.iaf.inrs.ca/
"Institut National de la Recherche Scientifique, Université du Québec",Canada,Toronto,371,"Artificial Intelligence, Software Engineering, Data Science",40464,Very High,http://www.inrs.uquebec.ca/
Kingston College,Canada,Toronto,111,"MBA, Artificial Intelligence, Business Analytics",42674,High,http://www.kingston.edu/
King's University College,Canada,Toronto,297,"Robotics, Business Analytics, MS Computer Science",33073,Medium,http://www.kingsu.ab.ca/
Kwantleen University College,Canada,Toronto,24,"MS Computer Science, Robotics, MBA",23305,Very High,http://www.kwantlen.bc.ca/
Lakehead University,Canada,Vancouver,24,"Software Engineering, MS Computer Science, Business Analytics",34408,High,http://www.lakeheadu.ca/
Langara College,Canada,Toronto,337,"MS Computer Science, Software Engineering, Business Analytics",29708,Very High,http://www.langara.bc.ca/
